# BJD, RAW_FLUX, RAW_FLUX_ERR, CORR_FLUX, CORR_FLUX_ERR, PHASE

2455093.225144 49850.554688 7.696079 0.997629 0.000150 12.583514
2455093.245577 49867.625000 7.698587 0.997910 0.000150 12.585558
2455093.266010 49862.800781 7.697219 0.997755 0.000150 12.587601
2455093.286443 49899.324219 7.699816 0.998427 0.000150 12.589644
2455093.306876 49939.550781 7.701322 0.999174 0.000150 12.591688
2455093.327308 49956.781250 7.702049 0.999462 0.000150 12.593731
2455093.347741 49957.218750 7.702243 0.999415 0.000150 12.595774
2455093.368174 49991.921875 7.703583 1.000054 0.000150 12.597817
2455093.388607 50015.503906 7.704394 1.000471 0.000150 12.599861
2455093.409040 50041.085938 7.705526 1.000928 0.000150 12.601904
2455093.429473 50060.648438 7.706345 1.001266 0.000150 12.603947
2455093.449905 50070.363281 7.706847 1.001408 0.000150 12.605991
2455093.470338 50088.300781 7.707541 1.001715 0.000150 12.608034
2455093.490771 50090.542969 7.707889 1.001708 0.000150 12.610077
2455093.511204 50109.152344 7.708272 1.002030 0.000150 12.612120
2455093.531637 50074.000000 7.706915 1.001277 0.000150 12.614164
2455093.552069 50072.746094 7.706796 1.001203 0.000150 12.616207
2455093.572502 50061.925781 7.706388 1.000938 0.000150 12.618250
2455093.592935 50052.949219 7.706321 1.000711 0.000150 12.620293
2455093.613368 50062.296875 7.706535 1.000851 0.000150 12.622337
2455093.633801 50048.421875 7.705889 1.000527 0.000150 12.624380
2455093.654234 50046.289062 7.705672 1.000439 0.000150 12.626423
2455093.674666 50067.367188 7.706483 1.000815 0.000150 12.628467
2455093.695099 50053.312500 7.706095 1.000489 0.000150 12.630510
2455093.715532 50033.437500 7.705336 1.000048 0.000150 12.632553
2455093.735965 50056.304688 7.706173 1.000462 0.000150 12.634596
2455093.756398 50055.484375 7.706244 1.000403 0.000150 12.636640
2455093.776831 50070.707031 7.706860 1.000665 0.000150 12.638683
2455093.797263 50065.332031 7.706645 1.000516 0.000150 12.640726
2455093.817696 50057.828125 7.706375 1.000325 0.000150 12.642770
2455093.838129 50040.640625 7.705678 0.999941 0.000150 12.644813
2455093.858562 49998.382812 7.703801 0.999057 0.000150 12.646856
2455093.878995 50008.332031 7.704462 0.999216 0.000150 12.648899
2455093.899427 49994.746094 7.703748 0.998906 0.000150 12.650943
2455093.919860 49989.968750 7.703752 0.998772 0.000150 12.652986
2455093.940293 49961.824219 7.702507 0.998172 0.000150 12.655029
2455093.960726 49967.558594 7.702830 0.998250 0.000150 12.657073
2455093.981159 49980.593750 7.703168 0.998474 0.000150 12.659116
2455094.001592 49973.761719 7.703034 0.998301 0.000150 12.661159
2455094.022024 50008.839844 7.704375 0.998966 0.000150 12.663202
2455094.042457 50021.644531 7.705041 0.999187 0.000150 12.665246
2455094.062890 50042.886719 7.705795 0.999577 0.000150 12.667289
2455094.083323 50051.730469 7.706350 0.999719 0.000150 12.669332
2455094.103756 50092.792969 7.707719 1.000506 0.000150 12.671376
2455094.124188 50111.281250 7.708757 1.000842 0.000150 12.673419
2455094.144621 50136.191406 7.709642 1.001307 0.000150 12.675462
2455094.165054 50143.722656 7.710007 1.001425 0.000150 12.677505
2455094.185487 50152.750000 7.710504 1.001574 0.000150 12.679549
2455094.205920 50183.574219 7.711540 1.002158 0.000150 12.681592
2455094.226352 50150.148438 7.710436 1.001460 0.000150 12.683635
2455094.246785 50171.339844 7.711205 1.001852 0.000150 12.685678
2455094.267218 50141.453125 7.709945 1.001225 0.000150 12.687722
2455094.287651 50152.867188 7.710281 1.001424 0.000150 12.689765
2455094.308084 50126.792969 7.709256 1.000874 0.000150 12.691808
2455094.328516 50141.273438 7.709936 1.001135 0.000150 12.693852
2455094.348949 50115.566406 7.709070 1.000593 0.000150 12.695895
2455094.369382 50165.679688 7.717048 1.001566 0.000150 12.697938
2455094.389815 50130.226562 7.709658 1.000830 0.000150 12.699981
2455094.410248 50089.175781 7.707802 0.999984 0.000150 12.702025
2455094.430681 50126.468750 7.709247 1.000702 0.000150 12.704068
2455094.451113 50116.144531 7.708906 1.000469 0.000150 12.706111
2455094.491979 50106.726562 7.708568 1.000230 0.000150 12.710198
2455094.512412 50172.296875 7.711237 1.001514 0.000150 12.712241
2455094.532845 50127.796875 7.709529 1.000601 0.000150 12.714284
2455094.553277 50100.195312 7.708159 1.000025 0.000150 12.716328
2455094.573710 50079.792969 7.707559 0.999594 0.000150 12.718371
2455094.594143 50055.273438 7.706336 0.999081 0.000150 12.720414
2455094.614576 50065.785156 7.706825 0.999268 0.000150 12.722458
2455094.635009 50017.730469 7.704341 0.998286 0.000150 12.724501
2455094.655441 50021.582031 7.705360 0.998340 0.000150 12.726544
2455094.675874 49999.078125 7.703232 0.997869 0.000150 12.728587
2455094.696307 50019.386719 7.705041 0.998252 0.000150 12.730631
2455094.716740 50021.527344 7.704080 0.998273 0.000150 12.732674
2455094.737173 49997.558594 7.703938 0.997774 0.000150 12.734717
2455094.757605 50041.140625 7.705424 0.998622 0.000150 12.736760
2455094.778038 50022.820312 7.704257 0.998236 0.000150 12.738804
2455094.798471 50001.992188 7.706632 0.997800 0.000150 12.740847
2455094.818904 50081.457031 7.706617 0.999366 0.000150 12.742890
2455094.839337 50108.527344 7.708216 0.999886 0.000150 12.744934
2455094.859769 50122.414062 7.708262 1.000144 0.000150 12.746977
2455094.880202 50156.753906 7.710734 1.000810 0.000150 12.749020
2455094.900635 50153.207031 7.709475 1.000720 0.000150 12.751063
2455094.921068 50158.875000 7.711387 1.000815 0.000150 12.753107
2455094.941501 50163.417969 7.710564 1.000887 0.000150 12.755150
2455094.961934 50035.699219 7.710159 0.998321 0.000150 12.757193
2455094.982366 50159.074219 7.709901 1.000765 0.000150 12.759237
2455095.002799 50153.093750 7.709512 1.000628 0.000150 12.761280
2455095.023232 50170.523438 7.710149 1.000958 0.000150 12.763323
2455095.043665 50134.863281 7.708974 1.000230 0.000150 12.765366
2455095.064098 50143.445312 7.709338 1.000384 0.000150 12.767410
2455095.084530 50119.101562 7.708258 0.999882 0.000150 12.769453
2455095.104963 50108.195312 7.707660 0.999649 0.000150 12.771496
2455095.125396 50105.382812 7.707548 0.999576 0.000150 12.773540
2455095.145829 50090.820312 7.706990 0.999270 0.000150 12.775583
2455095.166262 50115.457031 7.707963 0.999746 0.000150 12.777626
2455095.186694 50105.167969 7.707629 0.999526 0.000150 12.779669
2455095.207127 50122.281250 7.708244 0.999852 0.000150 12.781713
2455095.227560 50111.183594 7.707758 0.999616 0.000150 12.783756
2455095.247993 50098.019531 7.707356 0.999339 0.000150 12.785799
2455095.268426 50069.527344 7.706202 0.998756 0.000150 12.787843
2455095.288858 50033.750000 7.704737 0.998028 0.000150 12.789886
2455095.309291 48819.707031 7.653031 0.973799 0.000149 12.791929
2455095.534052 48533.277344 7.640459 0.967951 0.000148 12.814405
2455095.554485 49957.652344 7.701588 0.996346 0.000150 12.816449
2455095.574917 50123.441406 7.708210 0.999641 0.000150 12.818492
2455095.595350 50180.656250 7.713253 1.000771 0.000150 12.820535
2455095.615783 50159.699219 7.709709 1.000342 0.000150 12.822578
2455095.636216 50168.500000 7.710079 1.000507 0.000150 12.824622
2455095.656649 50192.503906 7.711176 1.000975 0.000150 12.826665
2455095.677081 50195.394531 7.711490 1.001022 0.000150 12.828708
2455095.697514 50197.660156 7.711354 1.001057 0.000150 12.830751
2455095.717947 50204.750000 7.711637 1.001188 0.000150 12.832795
2455095.738380 50181.066406 7.710725 1.000705 0.000150 12.834838
2455095.758813 50180.160156 7.710545 1.000677 0.000150 12.836881
2455095.779245 50169.757812 7.710113 1.000460 0.000150 12.838924
2455095.799678 50161.750000 7.709984 1.000291 0.000150 12.840968
2455095.820111 50116.019531 7.708335 0.999369 0.000150 12.843011
2455095.840544 50134.582031 7.708943 0.999730 0.000150 12.845054
2455095.860977 50154.417969 7.709596 1.000117 0.000150 12.847098
