# Time, BJD, SAP_FLUX, SAP_FLUX_ERR, PDCSAP_FLUX, PDCSAP_FLUX_ERR

1373.488554 2456206.488554 49171.128906 7.903583 nan nan
1373.508987 2456206.508987 49182.109375 7.903872 55632.496094 8.692603
1373.529420 2456206.529420 49206.027344 7.905117 55641.714844 8.694268
1373.549853 2456206.549853 49242.675781 7.906539 55696.183594 8.696210
1373.570286 2456206.570286 49266.183594 7.907513 55712.074219 8.696783
1373.590718 2456206.590718 49270.750000 7.907499 55715.316406 8.696891
1373.611151 2456206.611151 49271.089844 7.908481 55718.550781 8.698095
1373.631584 2456206.631584 49278.988281 7.908165 55713.929688 8.698407
1373.652017 2456206.652017 49295.953125 7.908516 55748.378906 8.698263
1373.672450 2456206.672450 49271.847656 7.907793 55716.007812 8.697784
1373.692883 2456206.692883 49285.562500 7.908284 55720.609375 8.698285
1373.713315 2456206.713315 49233.367188 7.906199 55677.292969 8.695752
1373.733748 2456206.733748 49252.914062 7.906942 55684.746094 8.696517
1373.754181 2456206.754181 49217.117188 7.905393 55652.597656 8.694921
1373.774614 2456206.774614 49169.031250 7.903839 55601.078125 8.693677
1373.795047 2456206.795047 49185.855469 7.904355 55606.023438 8.693733
1373.815480 2456206.815480 49133.292969 7.902341 55559.664062 8.691411
1373.835913 2456206.835913 49096.910156 7.899213 55506.945312 8.688409
1373.856346 2456206.856346 49051.902344 7.897304 55462.054688 8.685911
1373.876778 2456206.876778 49031.625000 7.896500 55443.187500 8.685126
1373.897211 2456206.897211 49001.425781 7.895379 55394.902344 8.683870
1373.917644 2456206.917644 48964.429688 7.893976 55369.691406 8.682590
1373.938077 2456206.938077 48954.972656 7.893382 55351.519531 8.682244
1373.958510 2456206.958510 48959.058594 7.893775 55352.613281 8.682277
1373.978943 2456206.978943 48938.804688 7.892925 55337.546875 8.680717
1373.999375 2456206.999375 48951.929688 7.893409 55336.902344 8.681841
1374.019808 2456207.019808 48944.808594 7.893154 55342.750000 8.681642
1374.040241 2456207.040241 48953.937500 7.893665 55355.113281 8.682096
1374.060674 2456207.060674 48979.968750 7.894462 55368.660156 8.682774
1374.081107 2456207.081107 48989.855469 7.894963 55393.441406 8.684000
1374.101540 2456207.101540 49022.847656 7.896436 55415.687500 8.685403
1374.121973 2456207.121973 49051.625000 7.897501 55453.363281 8.686410
1374.142406 2456207.142406 49081.195312 7.898715 55488.285156 8.687638
1374.162838 2456207.162838 49128.542969 7.902150 55523.855469 8.691500
1374.183271 2456207.183271 49143.707031 7.901121 55555.515625 8.690479
1374.203704 2456207.203704 49173.816406 7.904024 55581.570312 8.694185
1374.224137 2456207.224137 49195.468750 7.904780 55604.375000 8.694495
1374.244570 2456207.244570 49228.128906 7.905843 55650.003906 8.695951
1374.265003 2456207.265003 49242.984375 7.906774 55648.648438 8.697178
1374.285435 2456207.285435 49262.875000 7.907332 55683.695312 8.697321
1374.305868 2456207.305868 49286.929688 7.908350 55707.082031 8.698287
1374.326301 2456207.326301 49313.617188 7.909387 55726.593750 8.699247
1374.346734 2456207.346734 nan nan nan nan
1374.367167 2456207.367167 49341.898438 7.910674 55756.574219 8.701205
1374.387600 2456207.387600 49335.066406 7.910337 55754.648438 8.701236
1374.408032 2456207.408032 49307.863281 7.909329 55726.218750 8.699636
1374.428465 2456207.428465 49316.519531 7.909663 55719.738281 8.699893
1374.448898 2456207.448898 49306.011719 7.908925 55722.777344 8.699893
1374.469331 2456207.469331 49265.464844 7.907660 55669.925781 8.697251
1374.489764 2456207.489764 49241.277344 7.906660 55644.746094 8.696680
1374.510197 2456207.510197 49199.199219 7.904119 55605.226562 8.693896
1374.530630 2456207.530630 49202.191406 7.905047 55592.601562 8.694985
1374.551062 2456207.551062 49148.906250 7.901427 55548.101562 8.691758
1374.571495 2456207.571495 49108.726562 7.899765 55500.285156 8.689746
1374.591928 2456207.591928 49074.527344 7.898599 55455.878906 8.688012
1374.612361 2456207.612361 49043.605469 7.897091 55430.679688 8.686673
1374.632794 2456207.632794 49042.871094 7.897062 55418.886719 8.686442
1374.653227 2456207.653227 48978.289062 7.894681 55357.230469 8.684155
1374.673660 2456207.673660 48968.425781 7.894304 55347.742188 8.683199
1374.694092 2456207.694092 48966.058594 7.894016 55329.050781 8.682645
1374.714525 2456207.714525 48943.519531 7.893345 55321.464844 8.682267
1374.734958 2456207.734958 48960.664062 7.893724 55326.355469 8.682331
1374.755391 2456207.755391 48965.488281 7.894186 55338.097656 8.683338
1374.775824 2456207.775824 48966.183594 7.894135 55346.441406 8.682570
1374.796257 2456207.796257 49002.656250 7.895596 55369.945312 8.684878
1374.816690 2456207.816690 48877.929688 7.895276 55243.816406 8.684279
1374.837122 2456207.837122 49043.984375 7.897280 55421.136719 8.686256
1374.857555 2456207.857555 49067.562500 7.898163 55443.375000 8.687373
1374.877988 2456207.877988 49051.480469 7.898887 55433.808594 8.688352
1374.898421 2456207.898421 49149.855469 7.901585 55528.746094 8.691010
1374.918854 2456207.918854 49167.062500 7.902205 55561.542969 8.692245
1374.939287 2456207.939287 49156.800781 7.902544 55547.707031 8.692881
1374.959719 2456207.959719 49211.691406 7.906240 55599.187500 8.696698
1374.980152 2456207.980152 49118.675781 7.905731 55505.531250 8.695899
1375.000585 2456208.000585 49259.632812 7.907458 55649.285156 8.698008
1375.021018 2456208.021018 49260.406250 7.907487 55657.718750 8.697933
1375.041451 2456208.041451 49289.695312 7.908805 55694.230469 8.699258
1375.061884 2456208.061884 49308.683594 7.909507 55698.281250 8.699620
1375.082316 2456208.082316 49312.089844 7.909705 55714.250000 8.700735
1375.102749 2456208.102749 49322.093750 7.909885 55714.609375 8.700300
1375.123182 2456208.123182 49314.156250 7.909788 55710.281250 8.700280
1375.143615 2456208.143615 49298.871094 7.909271 55696.445312 8.699783
1375.164048 2456208.164048 49308.261719 7.909601 55693.566406 8.700116
1375.184481 2456208.184481 49275.570312 7.908185 55671.308594 8.698714
1375.204914 2456208.204914 49263.363281 7.907798 55652.679688 8.698166
1375.225346 2456208.225346 49234.070312 7.906693 55614.328125 8.696938
1375.245779 2456208.245779 49202.441406 7.903756 55590.894531 8.693885
1375.266212 2456208.266212 49192.839844 7.903167 55560.265625 8.692930
1375.286645 2456208.286645 49128.527344 7.900689 55502.156250 8.690548
