Title: Discovery of a Detached, Eclipsing 40 min Period Double White Dwarf 
       Binary and a Friend: Implications for He+CO White Dwarf Mergers  
Authors: Brown W.R., Kilic M., Kosakowski A., Gianninas A.
Figure: Light curves of J0822 and J1043
================================================================================
Byte-by-byte Description of file: dbf3.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1- 26 A26    ---     ID     SDSS coordinate identifier
  28- 37 F10.8  d       HJD    Heliocentric Julian Date minus 2457814
  39- 45 F7.4   mag     mag    Relative magnitude (1)
  47- 52 F6.4   mag   e_mag    Uncertainty in mag
--------------------------------------------------------------------------------
SDSS J082239.546+304857.19 0.81131945 -0.0152 0.0370
SDSS J082239.546+304857.19 0.81309017 -0.0331 0.0401
SDSS J082239.546+304857.19 0.81343737  0.0407 0.0441
SDSS J082239.546+304857.19 0.81378457 -0.0287 0.0421
SDSS J082239.546+304857.19 0.81413178 -0.0313 0.0401
SDSS J082239.546+304857.19 0.81447895 -0.0228 0.0411
SDSS J082239.546+304857.19 0.81482619  0.0187 0.0411
SDSS J082239.546+304857.19 0.81517336 -0.0129 0.0390
SDSS J082239.546+304857.19 0.81552057 -0.0032 0.0410
SDSS J082239.546+304857.19 0.81586777  0.0666 0.0400
SDSS J082239.546+304857.19 0.81621498 -0.0423 0.0380
SDSS J082239.546+304857.19 0.81656218 -0.0463 0.0380
SDSS J082239.546+304857.19 0.81690936  0.0267 0.0421
SDSS J082239.546+304857.19 0.81725656  0.0091 0.0390
SDSS J082239.546+304857.19 0.81760377 -0.0217 0.0390
SDSS J082239.546+304857.19 0.81795097 -0.0442 0.0380
SDSS J082239.546+304857.19 0.81829818  0.0096 0.0400
SDSS J082239.546+304857.19 0.81864535  0.0387 0.0390
SDSS J082239.546+304857.19 0.81899259 -0.0069 0.0381
SDSS J082239.546+304857.19 0.81933976  0.0170 0.0401
SDSS J082239.546+304857.19 0.81968697 -0.0696 0.0381
SDSS J082239.546+304857.19 0.82003417 -0.0410 0.0381
SDSS J082239.546+304857.19 0.82038138  0.2241 0.0481
SDSS J082239.546+304857.19 0.82072858  0.1865 0.0531
SDSS J082239.546+304857.19 0.82107576 -0.0513 0.0381
SDSS J082239.546+304857.19 0.82142299 -0.0350 0.0391
SDSS J082239.546+304857.19 0.82177017  0.0137 0.0401
SDSS J082239.546+304857.19 0.82211737 -0.0126 0.0401
SDSS J082239.546+304857.19 0.82246458 -0.0529 0.0401
SDSS J082239.546+304857.19 0.82281178 -0.0200 0.0431
SDSS J082239.546+304857.19 0.82315899 -0.0293 0.0421
SDSS J082239.546+304857.19 0.82350616  0.0169 0.0441
SDSS J082239.546+304857.19 0.82385337  0.0542 0.0421
SDSS J082239.546+304857.19 0.82774202 -0.0180 0.0411
SDSS J082239.546+304857.19 0.82808923  0.0645 0.0431
SDSS J082239.546+304857.19 0.82843640 -0.0008 0.0411
SDSS J082239.546+304857.19 0.82878361  0.0330 0.0431
SDSS J082239.546+304857.19 0.82913081 -0.0330 0.0411
SDSS J082239.546+304857.19 0.82947802 -0.0329 0.0391
SDSS J082239.546+304857.19 0.82982522  0.0362 0.0421
SDSS J082239.546+304857.19 0.83017243 -0.0318 0.0411
SDSS J082239.546+304857.19 0.83051963  0.0444 0.0421
SDSS J082239.546+304857.19 0.83086681 -0.0019 0.0401
SDSS J082239.546+304857.19 0.83121401 -0.0868 0.0361
SDSS J082239.546+304857.19 0.83156122 -0.0011 0.0401
SDSS J082239.546+304857.19 0.83190842 -0.0728 0.0371
SDSS J082239.546+304857.19 0.83225563 -0.0276 0.0371
SDSS J082239.546+304857.19 0.83260280  0.0214 0.0421
SDSS J082239.546+304857.19 0.83295004 -0.0080 0.0401
SDSS J082239.546+304857.19 0.83329721 -0.0521 0.0371
SDSS J082239.546+304857.19 0.83364442  0.0203 0.0421
SDSS J082239.546+304857.19 0.83399162  0.0730 0.0421
SDSS J082239.546+304857.19 0.83433883  0.0555 0.0430
SDSS J082239.546+304857.19 0.83468603 -0.0126 0.0401
SDSS J082239.546+304857.19 0.83503321 -0.0197 0.0391
SDSS J082239.546+304857.19 0.83538044  0.0273 0.0411
SDSS J082239.546+304857.19 0.83572762 -0.0128 0.0400
SDSS J082239.546+304857.19 0.83607482  0.0184 0.0411
SDSS J082239.546+304857.19 0.83642203 -0.0354 0.0381
SDSS J082239.546+304857.19 0.83676923 -0.0111 0.0401
SDSS J082239.546+304857.19 0.83711644 -0.0829 0.0371
SDSS J082239.546+304857.19 0.83746361  0.0006 0.0411
SDSS J082239.546+304857.19 0.83781085 -0.0249 0.0421
SDSS J082239.546+304857.19 0.83815802  0.0739 0.0421
SDSS J082239.546+304857.19 0.83850523 -0.0236 0.0421
SDSS J082239.546+304857.19 0.83885243 -0.0484 0.0391
SDSS J082239.546+304857.19 0.83919961  0.0040 0.0411
SDSS J082239.546+304857.19 0.83954681 -0.0375 0.0391
SDSS J082239.546+304857.19 0.83989401  0.0784 0.0431
SDSS J082239.546+304857.19 0.84024125 -0.0476 0.0391
SDSS J082239.546+304857.19 0.84058842  0.0001 0.0401
SDSS J082239.546+304857.19 0.84093563 -0.0469 0.0391
SDSS J082239.546+304857.19 0.84128283 -0.0240 0.0411
SDSS J082239.546+304857.19 0.84163001 -0.0230 0.0401
SDSS J082239.546+304857.19 0.84197721 -0.0448 0.0391
SDSS J082239.546+304857.19 0.84232442  0.0514 0.0421
SDSS J082239.546+304857.19 0.84267165 -0.0576 0.0401
SDSS J082239.546+304857.19 0.84301883  0.0347 0.0411
SDSS J082239.546+304857.19 0.84336603 -0.0471 0.0391
SDSS J082239.546+304857.19 0.84371324  0.0345 0.0431
SDSS J082239.546+304857.19 0.84406041  0.0398 0.0421
SDSS J082239.546+304857.19 0.84440762 -0.0387 0.0391
SDSS J082239.546+304857.19 0.84475482  0.0115 0.0401
SDSS J082239.546+304857.19 0.84510200  0.0274 0.0441
SDSS J082239.546+304857.19 0.84544923 -0.0260 0.0401
SDSS J082239.546+304857.19 0.84579644 -0.0021 0.0411
SDSS J082239.546+304857.19 0.84614364 -0.0594 0.0381
SDSS J082239.546+304857.19 0.84649082 -0.0116 0.0401
SDSS J082239.546+304857.19 0.84683802  0.0252 0.0421
SDSS J082239.546+304857.19 0.84718523 -0.0408 0.0401
SDSS J082239.546+304857.19 0.84753240  0.0586 0.0431
SDSS J082239.546+304857.19 0.84787964 -0.0478 0.0411
SDSS J082239.546+304857.19 0.84822684  0.0149 0.0411
SDSS J082239.546+304857.19 0.84857405  0.2206 0.0501
SDSS J082239.546+304857.19 0.84892122  0.2140 0.0481
SDSS J082239.546+304857.19 0.84926843 -0.0032 0.0421
SDSS J082239.546+304857.19 0.84961563  0.0055 0.0441
SDSS J082239.546+304857.19 0.84996281  0.0027 0.0411
SDSS J082239.546+304857.19 0.85031001 -0.0415 0.0411
SDSS J082239.546+304857.19 0.85065725  0.0157 0.0411
SDSS J082239.546+304857.19 0.85100445  0.0171 0.0411
SDSS J082239.546+304857.19 0.85135163  0.0239 0.0421
SDSS J082239.546+304857.19 0.85169883 -0.0673 0.0381
SDSS J082239.546+304857.19 0.85204603 -0.0301 0.0381
SDSS J082239.546+304857.19 0.85239321 -0.0383 0.0411
SDSS J082239.546+304857.19 0.85274041  0.0032 0.0411
SDSS J082239.546+304857.19 0.85308765  0.0060 0.0411
SDSS J082239.546+304857.19 0.85343485  0.0140 0.0431
SDSS J082239.546+304857.19 0.85378203  0.0051 0.0441
SDSS J082239.546+304857.19 0.85412923  0.0005 0.0411
SDSS J082239.546+304857.19 0.85447644  0.0362 0.0421
SDSS J082239.546+304857.19 0.85482361 -0.0957 0.0371
SDSS J082239.546+304857.19 0.85517082  0.0697 0.0441
SDSS J082239.546+304857.19 0.85551802 -0.0508 0.0391
SDSS J082239.546+304857.19 0.85586526 -0.0260 0.0401
